scale1,color,scale2,color,scale3,color,scale4,color,scale5,color,scale6,color,scale7,color,scale8,color,scale9,color,scale10,color,scale11,color,scale12,color,scale13,color,scale14,color,scale15,color,scale16,color,scale17,color,scale18,color,scale19,color,scale20,color,scale21,color,scale22,color,scale23,color,scale24,color
Iga päev,darkgreen,Sööb palju rohkem,darkgreen,Vähemalt kord päevas,darkgreen,Väga vajalik,darkgreen,Igal koolipäeval,darkgreen,Iga päev,darkgreen,Pakutakse väga palju erinevaid,darkgreen,Väga maitseb,darkgreen,3-5 peotäit päevas,darkgreen,5 peotäit või rohkem,darkgreen,Ei joo üldse,darkgreen,0,darkgreen,Iga koolipäev,darkgreen,Iga päev,darkgreen,Väga maitseb,darkgreen,3-5 klaasi päevas ,darkgreen,5 klaasi või rohkem,darkgreen,Olen osa võtnud,darkgreen,3-5 peotäit päevas,darkgreen,Iga koolipäev,darkgreen,3-5 klaasi päevas ,darkgreen,Iga päev,darkgreen,Iga päev,darkgreen,Iga päev,darkgreen
5-6 päeval nädalas,palegreen4,Sööb pigem rohkem,palegreen4,Kord nädalas,palegreen4,Pigem vajalik,palegreen4,3-4 päeval nädalas,palegreen4,5-6 päeval nädalas,palegreen4,Pakutakse palju erinevaid,palegreen4,Maitseb,palegreen4,1-2 peotäit päevas,palegreen4,4 peotäit,palegreen4,Pool klaasi,palegreen4,1,palegreen4,3-4 päeval nädalas,palegreen4,5-6 päeval nädalas,palegreen4,Maitseb,palegreen4,1-2 klaasi päevas ,palegreen4,4 klaasi,palegreen4,Ei ole osa võtnud,darkred,1-2 peotäit päevas,palegreen4,3-4 päeval nädalas,palegreen4,1-2 klaasi päevas ,palegreen4,5-6 päeval nädalas,palegreen4,3-4 päeval nädalas,lightgreen,5-6 päeval nädalas,palegreen4
3-4 päeval nädalas,lightgreen,Sööb pigem vähem,firebrick1,Mitu korda nädalas,lightgreen,Pigem ebavajalik,firebrick1,1-2 korda nädalas,lightgreen,3-4 päeval nädalas,lightgreen,"Pakutakse erinevaid, kuid võiks olla rohkem",lightgreen,"Eriti ei maitse, aga söön ära",lightgreen,"Mõned peotäied nädalas, aga mitte iga päev",lightgreen,3 peotäit,lightgreen,1 klaas,lightgreen,2,lightgreen,1-2 korda nädalas,lightgreen,3-4 päeval nädalas,lightgreen,"Eriti ei maitse, aga joon ära",lightgreen,"Mõned klaasid nädalas, aga mitte iga päev ",lightgreen,3 klaasi,lightgreen,Ei ole toimunud,gray,"Mõned peotäied nädalas, aga mitte iga päev",lightgreen,1-2 korda nädalas,lightgreen,"Mõned klaasid nädalas, aga mitte iga päev ",lightgreen,3-4 päeval nädalas,lightgreen,1-2 korda nädalas,darksalmon,3-4 päeval nädalas,lightgreen
1-2 korda nädalas,darksalmon,Ei ole muutusi,darkred,Kord kuus,firebrick1,Täiesti ebavajalik,darkred,Paar korda kuus,firebrick1,1-2 korda nädalas,darksalmon,Pakutakse väikest valikut,firebrick1,"Ei maitse, ei söö",firebrick1,"Mõned peotäied kuus, aga mitte iga nädal",firebrick1,2 peotäit,darksalmon,"1,5 klaasi",darksalmon,3,darksalmon,Paar korda kuus,firebrick1,1-2 korda nädalas,darksalmon,"Ei maitse, ei joo",firebrick1,"Mõned klaasid kuus, aga mitte iga nädal ",firebrick1,2 klaasi,darksalmon,,,"Mõned peotäied kuus, aga mitte iga nädal",darksalmon,Paar korda kuus,firebrick1,"Mõned klaasid kuus, aga mitte iga nädal ",firebrick1,1-2 korda nädalas,darksalmon,Paar korda kuus,firebrick1,1-2 korda nädalas,darksalmon
Paar korda kuus,firebrick1,Ei oska öelda,gray,Mitu korda kuus,darkred,,,Ei söö üldse,darkred,Paar korda kuus,firebrick1,Üldse ei pakuta,darkred,"Söön ainult siis, kui see on keedetud, aurutatud või küpsetatud",darkred,Ei pea üldse sööma,darkred,1 peotäis,firebrick1,2 klaasi,firebrick1,4,firebrick1,Ei söö/joo üldse,darkred,Paar korda kuus,firebrick1,"Ma ei tea seda, pole proovinud",gray,Ei pea üldse,darkred,1 klaas,firebrick1,,,Ei pea üldse sööma,firebrick1,Ei söö/joo üldse,darkred,Ei pea üldse,darkred,Paar korda kuus,firebrick1,Ei söö/joo üldse,darkred,Paar korda kuus,firebrick1
Ei söö/joo üldse,darkred,,,Ei oska öelda,gray,,,Ei oska öelda,gray,Ei söö üldse,darkred,Ei oska öelda,gray,"Ma ei tea seda, pole proovinud",gray,Ei oska öelda,gray,Ei söö üldse,darkred,"2,5 klaasi või rohkem",darkred,5 ja rohkem,darkred,Ei oska öelda,gray,Ei söö/joo üldse,darkred,,, Ei oska öelda,gray,Ei joo üldse,darkred,,,Ei söö/joo üldse,darkred,Ei oska öelda ,gray,Ei oska öelda,gray,Ei oska öelda,gray,Ei oska öelda,gray,Ei söö/joo üldse,darkred
Ei oska öelda,gray,,,,,,,,,Ei oska öelda,gray,,,,,,,Ei oska öelda,gray,Ei oska öelda,gray,,,,,Ei oska öelda,gray,,,,,Ei oska öelda,gray,,,Ei oska öelda,gray,,,,,,,,,Ei oska öelda ,gray
